2024-01-04 03:41:04 - INFO - Script executed at: 2024-01-04 03:41:04.235638
2024-01-04 03:41:14 - INFO - ['AMZN', 'AAPL', 'MSFT', 'GOOGL']
2024-01-04 03:41:32 - INFO - Stock information retrieved and inserted into the database
2024-01-05 00:09:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:29 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:32 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:33 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:33 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:36 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:40 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:43 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:44 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:44 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:47 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:51 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:54 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:55 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:09:58 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:01 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:02 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
2024-01-05 00:10:02 - INFO - Stock value retrieved and pushed to kafka topic real-time-stock-prices
